,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Vientiane pipeline solar capacity,Vientiane pipeline wind capacity,Vientiane pipeline hydro capacity,Vientiane pipeline electrolyzer capacity,Vientiane pipeline battery capacity,Vientiane pipeline H2 storage capacity,Vientiane pipeline production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane pipeline battery costs,Vientiane LCOH - pipeline battery costs portion,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane pipeline electrolyzer costs,Vientiane LCOH - pipeline electrolyzer portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane pipeline H2 storage costs,Vientiane LCOH - pipeline H2 storage portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane pipeline wind costs,Vientiane LCOH - pipeline wind portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane pipeline solar costs,Vientiane LCOH - pipeline solar portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane pipeline hydro costs,Vientiane LCOH - pipeline hydro portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
10,85649293fffffff,155,623,195,739,528,249,11.131949,0.0,0.0,5.5,9,83.0,1246.0,92,Laos,0.0,0.46614657771099516,NH3,1.7277333121785823,340.48226534202655,26.269160573431524,5.5,79.82616402856195,289.81500120656585,1419.8613324336325,11.03432185984128,336.1159773303935,19.8013231598217,5.5,60.17183785222142,444.66595335891617,1297.5534353608,10.901954170958213,0.009849,0.005691,0.005691,11.506159437552276,"POLYGON ((101.01922024743966 20.849412210325948, 100.99465026458253 20.940616549162375, 100.89685114047268 20.967869691787577, 100.82365457898851 20.903900459036876, 100.84828425272454 20.812677888051596, 100.94605090181885 20.785442724159033, 101.01922024743966 20.849412210325948))",10446059.206132926,1.8326419659882327,6808312.259035624,1.1944407471992322,6891067.458596484,1.208959203262541,9141942.49198091,1.603849559996651,3485162.663143473,0.6114320461655216,3813675.466292349,0.6690658712793595,4024963.563523785,0.7061339585129448,5339664.087042228,0.9367831731653032,36005811.59848439,6.316809052365683,36473542.24544809,6.398867060604928,1280981.356972652,0.2247335713987109,1280981.356972652,0.2247335713987109
11,854065b3fffffff,287,807,443,348,696,437,0.0,0.0,0.0,,10,9.0,65.0,92,Laos,0.0,0.4664835258691115,NH3,1.7318593760133894,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.75143872545267 21.148932245208822, 101.72711765376634 21.23996554505458, 101.62949975652609 21.267595224503317, 101.55623322705259 21.20417145486076, 101.58061578031739 21.113116894475667, 101.67820348271881 21.085507307234572, 101.75143872545267 21.148932245208822))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,854065b3fffffff,287,807,443,348,696,437,0.0,0.0,0.0,,10,9.0,65.0,139,Other,0.0,0.4664835258691115,NH3,1.7318593760133894,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.75143872545267 21.148932245208822, 101.72711765376634 21.23996554505458, 101.62949975652609 21.267595224503317, 101.55623322705259 21.20417145486076, 101.58061578031739 21.113116894475667, 101.67820348271881 21.085507307234572, 101.75143872545267 21.148932245208822))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,856590dbfffffff,569,932,85,279,0,0,15.742953,0.0,11.131949,,11,39.0,253.0,90,Other,0.11303062772433467,0.5694019823656244,NH3,2.610845511540075,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((106.79887000250963 14.32921887822729, 106.77710150892428 14.422379189898965, 106.6842885139552 14.45153818486975, 106.61325721251981 14.387488749146096, 106.63509371598639 14.29428977110516, 106.72789357739948 14.265178849362893, 106.79887000250963 14.32921887822729))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8564b3cffffffff,35,199,818,486,0,0,0.0,0.0,0.0,,12,328.0,1430.0,91,Other,0.0,0.37019943966904745,NH3,0.9341137360570856,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.2166334028338 18.413634281005297, 101.19232915922723 18.506095379475166, 101.09537150377157 18.53351616035834, 101.02274953759931 18.468453822531764, 101.04711298728931 18.375974990815944, 101.14403929837663 18.348576173703126, 101.2166334028338 18.413634281005297))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8564b3cffffffff,35,199,818,486,0,0,0.0,0.0,0.0,,12,328.0,1430.0,92,Laos,0.0,0.37019943966904745,NH3,0.9341137360570856,331.36045838074057,19.492867796244077,0.0,92.65177721687955,259.60166173548237,891.9960026573804,10.280486709853719,328.8489103622539,18.872385427732713,0.0,89.70255523603822,279.75933600841347,819.4266379612151,10.195816850842574,0.009849,0.005691,0.005691,10.656377149522767,"POLYGON ((101.2166334028338 18.413634281005297, 101.19232915922723 18.506095379475166, 101.09537150377157 18.53351616035834, 101.02274953759931 18.468453822531764, 101.04711298728931 18.375974990815944, 101.14403929837663 18.348576173703126, 101.2166334028338 18.413634281005297))",6572085.326832959,1.1529974257601683,6098542.755555822,1.0699197816764598,10273017.76718452,1.8022838188043018,10610771.911744073,1.8615389318849251,2200938.355200387,0.3861295360000679,2395855.9851296633,0.4203256114262567,3836140.801819296,0.6730071582139115,3962264.642378326,0.6951341477856713,35227340.291625924,6.180235138881741,35496385.29654483,6.2274360169376894,0.0,0.0,0.0,0.0
16,856590cffffffff,636,85,214,49,0,0,0.0,0.0,0.0,,13,4.0,16.0,90,Other,0.0,0.5602134059128221,NH3,2.4983277485488298,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((106.52034523150807 14.416591123120954, 106.49845111660713 14.509790369483953, 106.40542753264775 14.538882982742503, 106.33431214459367 14.474729309708461, 106.35627389307605 14.381492506837048, 106.44928346417763 14.352446887007838, 106.52034523150807 14.416591123120954))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,856590cffffffff,636,85,214,49,0,0,0.0,0.0,0.0,,13,4.0,16.0,92,Laos,0.0,0.5602134059128221,NH3,2.4983277485488298,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((106.52034523150807 14.416591123120954, 106.49845111660713 14.509790369483953, 106.40542753264775 14.538882982742503, 106.33431214459367 14.474729309708461, 106.35627389307605 14.381492506837048, 106.44928346417763 14.352446887007838, 106.52034523150807 14.416591123120954))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8565925bfffffff,458,522,380,48,567,260,0.0,0.0,0.0,,14,144.0,2206.0,92,Laos,0.0,0.5271138061472371,NH3,2.283655613258714,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((106.96429132058937 15.827168431094636, 106.94249081038579 15.919968935162807, 106.849347461231 15.949479658582641, 106.77801742700674 15.88614382718657, 106.79988683884395 15.793302992648677, 106.89301744959283 15.763838275223428, 106.96429132058937 15.827168431094636))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8564b067fffffff,729,844,7,870,513,158,11.131949,0.0,0.0,,15,87.0,600.0,92,Laos,0.0,0.3471335355834516,NH3,0.8423081838820263,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.3621200391098 17.858024009266448, 101.33791256578972 17.950723620508292, 101.24118134556713 17.97821079710538, 101.1686884755571 17.91297503145316, 101.19295527192548 17.820257437307742, 101.28965571529216 17.792793535591933, 101.3621200391098 17.858024009266448))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8564b2a7fffffff,266,124,801,176,79,476,0.0,0.0,0.0,,16,453.0,3522.0,92,Laos,0.0,0.3390951363368834,NH3,0.7438747969585794,336.28771055743374,0.0,0.0,114.85726547149423,117.05787237384911,1707.4381627877995,9.9206595544419,334.3379682109925,0.0,0.0,112.9481987982626,125.8826013254895,1645.0253050094027,9.847826934500082,0.009849,0.005691,0.005691,10.265445690778783,"POLYGON ((101.62799875802354 18.210909554702017, 101.60386264073945 18.303454277552884, 101.50712394705388 18.331066220382684, 101.43455147987005 18.266109633117605, 101.45874764621294 18.17354558608163, 101.55545632969823 18.14595739458809, 101.62799875802354 18.210909554702017))",2957224.623416794,0.5188113374415428,2749914.7531409734,0.48244118476157427,12935181.723339358,2.2693301269016417,13153814.022065328,2.3076866705377768,4418454.467234173,0.7751674503919601,4586092.235129926,0.8045775851105134,0.0,0.0,0.0,0.0,35815345.61147001,6.283393966924563,36024208.207497515,6.320036527631143,0.0,0.0,0.0,0.0
21,85414b47fffffff,381,34,461,830,415,410,0.0,0.0,0.0,,17,220.0,2352.0,92,Laos,0.0,0.4440938953629907,NH3,1.6483350620392065,329.3297700493371,8.459411202633358,0.0,80.69744913593614,356.248359523881,1607.7860500677639,10.344326494195805,327.74004337514464,3.172715320450733,0.0,64.11859372387819,479.936554946966,1461.0514462831018,10.228443007424188,0.009849,0.005691,0.005691,10.794111389558797,"POLYGON ((102.84688428452334 21.086620837538817, 102.82298995088267 21.177670680546374, 102.72586421280529 21.205877289763954, 102.6526595465245 21.143010169994614, 102.67661771308971 21.05193474241574, 102.77371680816256 21.023751963879842, 102.84688428452334 21.086620837538817))",11274633.531739784,1.9780058827613656,8368959.727102009,1.4682385486143874,7343062.3107562885,1.2882565457467172,9241724.79321844,1.6213552268804279,3924310.0212684087,0.688475442327791,4318431.718737659,0.7576195997785367,644909.6082709897,0.11314203653877013,1719522.5583991117,0.3016706242805459,35108554.93621752,6.159395602845178,35278851.50937861,6.189272194627827,0.0,0.0,0.0,0.0
22,8564942bfffffff,888,401,611,117,814,869,11.131949,11.131949,0.0,,18,163.0,1537.0,92,Laos,0.0,0.42085274679833173,NH3,1.3637379800782585,329.32977004933684,8.459411202633103,0.0,80.69744913593608,356.2483595238813,1607.7860500677698,10.34432649419579,327.7400433751451,3.1727153204507386,0.0,64.11859372387828,479.9365549469664,1461.0514462830913,10.228443007424197,0.009849,0.0058312625574000005,0.0058312625574000005,10.771010503551523,"POLYGON ((100.80200628649584 19.639505462321374, 100.77745383335316 19.731372656506345, 100.67996389631998 19.758565833192478, 100.60705942021488 19.693872961978222, 100.63167059210089 19.601989016151325, 100.72912762595043 19.57481463575099, 100.80200628649584 19.639505462321374))",11274633.531739794,1.9780058827613674,8368959.727102015,1.4682385486143885,7343062.310756299,1.288256545746719,9241724.793218434,1.621355226880427,3924310.0212683803,0.688475442327786,4318431.718737675,0.7576195997785394,644909.608270991,0.11314203653877035,1719522.5583990596,0.30167062428053676,35108554.93621757,6.159395602845188,35278851.50937858,6.189272194627821,0.0,0.0,0.0,0.0
23,8541618bfffffff,497,610,224,435,0,0,11.131949,0.0,0.0,,19,7.0,56.0,94,Other,0.0,0.5247064553844144,NH3,2.254176648376675,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((107.11288175920973 16.29482343680353, 107.09111338645931 16.387467610839714, 106.99793268400096 16.41711563480138, 106.92653272707243 16.35407379491692, 106.94837042297885 16.261388425227523, 107.04153881834773 16.231786046857266, 107.11288175920973 16.29482343680353))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,85416c6ffffffff,725,438,298,755,764,91,0.0,0.0,0.0,,20,1007.0,2517.0,92,Laos,0.0,0.4324892706828813,NH3,1.5062318302637678,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((105.4255714734379 16.823996427490243, 105.40304411350331 16.91676213765762, 105.30861515632269 16.945879050660768, 105.23673135337087 16.88219098304958, 105.25932562562795 16.789390806496847, 105.35373686495888 16.760313115256835, 105.4255714734379 16.823996427490243))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8564b667fffffff,253,352,480,485,776,591,0.0,0.0,0.0,,21,511.0,2076.0,92,Laos,0.0,0.2935379177734967,NH3,0.3766541786116723,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((102.54483611818534 18.117541210154194, 102.52105466031225 18.21009442047627, 102.42472682139402 18.23812127135503, 102.35220762565189 18.173567666554906, 102.37605107030669 18.080991353068953, 102.4723518180017 18.052991692960944, 102.54483611818534 18.117541210154194))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,854161affffffff,377,156,274,285,765,534,0.0,0.0,0.0,,22,259.0,1165.0,92,Laos,0.0,0.48946929518392696,NH3,2.013329237772778,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((106.50348117817413 16.31624384199227, 106.48144730111427 16.408995092692994, 106.38784934440265 16.438433290827025, 106.31629957243776 16.37507654037136, 106.33840187738684 16.282286602245595, 106.4319855959104 16.25289205605784, 106.50348117817413 16.31624384199227))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8564b64ffffffff,660,738,518,62,374,577,0.0,0.0,0.0,,23,271.0,1022.0,92,Laos,0.0,0.2997729674548971,NH3,0.45300483487426385,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((103.05078453545303 18.226130617353157, 103.02719122005949 18.318610171696157, 102.93106082915111 18.346867419069344, 102.85854934338504 18.282616244199083, 102.88220573291686 18.190111415110135, 102.97831062547249 18.161882981855413, 103.05078453545303 18.226130617353157))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,85649633fffffff,449,558,187,388,250,839,22.263898,0.0,0.0,,24,157.0,1677.0,92,Laos,0.0,0.4350929084792271,NH3,1.5381144077216664,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.21490044848039 20.456676192843222, 101.19043418546036 20.548107146486544, 101.09283191537118 20.575481315123405, 101.01972778110861 20.511405295194713, 101.04425403342046 20.419955502620308, 101.14182453405465 20.392600511542426, 101.21490044848039 20.456676192843222))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,854165b3fffffff,467,315,75,919,714,191,11.131949,0.0,0.0,,25,52.0,694.0,92,Laos,0.0,0.5707772525534532,NH3,2.62768624044274,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((107.53639997331771 15.215306774184736, 107.51489169715457 15.308137272964075, 107.42232804990311 15.337711104432312, 107.35128363483751 15.274405466619966, 107.37286135064663 15.181532629542845, 107.46541410424959 15.152007725300606, 107.53639997331771 15.215306774184736))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
